"Model","Log-Likelihood","Deviance","Mode1 (cm)","StdDev1 (cm)","Mode2 (cm)","StdDev2 (cm)","P_Mode1"
"bilognorm",25093.6,545.54,54.48,3.61,65.45,15.26,0.89
"binorm.sca",25091.12,550.49,54.32,3.28,59.81,7.33,0.79
"lognorm",25014.23,704.28,54.91,4.46,NA,NA,NA
"norm.sca",24979.99,772.76,55.28,4.34,NA,NA,NA
"norm.loc",24934.91,862.92,54.6,5.15,NA,NA,NA
