"Linf","MK","FM","SPR"
110,1,1.631,0.649
110,1.5,0.651,0.78
110,2,0.162,0.924
120,1,2.022,0.641
120,1.5,0.911,0.747
120,2,0.356,0.863
130,1,2.41,0.633
130,1.5,1.169,0.723
130,2,0.548,0.821
